2025-07-20 22:38:51 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:38:51 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:38:51 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:39:21 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:39:26 - URI Original: /artesanoDigital/artesano/dashboard?mensaje=Producto%20creado%20correctamente&tipo=success, URI Procesada: /artesano/dashboard
2025-07-20 22:39:26 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:39:26 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:39:26 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:39:26 - URI Original: /artesanoDigital/dashboard/artesano, URI Procesada: /dashboard/artesano
2025-07-20 22:39:26 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:39:26 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:39:26 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:39:56 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:40:01 - URI Original: /artesanoDigital/, URI Procesada: 
2025-07-20 22:40:01 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:40:01 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:40:01 - URI Original: /artesanoDigital/productos/pulsera1.jpg, URI Procesada: /productos/pulsera1.jpg
2025-07-20 22:40:01 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:40:01 - URI Original: /artesanoDigital/productos/vasija1.jpg, URI Procesada: /productos/vasija1.jpg
2025-07-20 22:40:01 - URI Original: /artesanoDigital/productos/plato1.jpg, URI Procesada: /productos/plato1.jpg
2025-07-20 22:40:01 - URI Original: /artesanoDigital/productos/bolso1.jpg, URI Procesada: /productos/bolso1.jpg
2025-07-20 22:40:01 - URI Original: /artesanoDigital/productos/huipil1.jpg, URI Procesada: /productos/huipil1.jpg
2025-07-20 22:40:10 - URI Original: /artesanoDigital/carrito, URI Procesada: /carrito
2025-07-20 22:40:10 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:40:10 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:40:10 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:40:12 - URI Original: /artesanoDigital/checkout/cart_process.php?step=checkout, URI Procesada: /checkout/cart_process.php
2025-07-20 22:40:12 - URI Original: /artesanoDigital/checkout/cart_process.php?step=checkout, URI Procesada: /checkout/cart_process.php
2025-07-20 22:40:12 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
g
ro1.jpg
2025-07-20 22:40:12 - URI Original: /artesanoDigital/checkout/cart_process.php?step=checkout, URI Procesada: /checkout/cart_process.php
2025-07-20 22:40:12 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:40:12 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:40:12 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:40:43 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:41:13 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:41:43 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:42:13 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:42:43 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:43:13 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:43:42 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:44:07 - URI Original: /artesanoDigital/checkout/cart_process.php?step=checkout, URI Procesada: /checkout/cart_process.php
2025-07-20 22:44:07 - URI Original: /artesanoDigital/checkout/completado, URI Procesada: /checkout/completado
2025-07-20 22:44:07 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:44:07 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:44:07 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:44:37 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
